ICD_CODE,NAME
01202,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
01203,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
01204,"Tuberculous pleurisy , tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01205,"Tuberculous pleurisy , tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01206,"Tuberculous pleurisy , tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0121,*Tuberculosis of intrathoracic lymph nodes
01210,"Tuberculosis of intrathoracic lymph nodes, unspecified"
01211,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
01212,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
01213,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
01214,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01215,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01216,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculat"
0122,*Isolated tracheal or bronchial tuberculosis
01220,"Isolated tracheal or bronchial tuberculosis, unspecified"
01221,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
01222,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknowm (at present)"
01223,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01224,"Isolated tracheal or bronchial tuberculosis , tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01225,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01226,"Isolated tracheal or bronchial tuberculosis , tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inocu"
0123,*Tuberculous laryngitis
01230,"Tuberculous laryngitis, unspecified"
01231,"Tuberculous laryngitis, bacteriological or histological examination not done"
01232,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
01233,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
01234,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01235,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01236,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0128,*Other specified respiratory tuberculosis
01280,"Other specified respiratory tuberculosis, unspecified"
01281,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
01282,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
01283,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01284,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01285,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01286,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculati"
013,*Tuberculosis of meninges and central nervous system
0130,*Tuberculous meningitis
01300,"Tuberculous meningitis, unspecified"
01301,"Tuberculous meningitis, bacteriological or histological examination not done"
01302,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)"
01303,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy"
01304,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01305,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01306,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0131,*Tuberculoma of meninges
01310,"Tuberculoma of meninges, unspecified"
01311,"Tuberculoma of meninges, bacteriological or histological examination not done"
01312,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)"
01313,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy"
01314,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01315,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01316,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0132,*Tuberculoma of brain
01320,"Tuberculoma of brain, unspecified"
01321,"Tuberculoma of brain, bacteriological or histological examination not done"
01322,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)"
01323,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy"
01324,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01325,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01326,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0133,*Tuberculous abscess of brain
01330,"Tuberculous abscess of brain, unspecified"
01331,"Tuberculoma abscess of brain, bacteriological or histological examination not done"
01332,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)"
01333,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy"
01334,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01335,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01336,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animal"
0134,*Tuberculoma of spinal cord
01340,"Tuberculoma of spinal cord, unspecified"
01341,"Tuberculoma of spinal cord, bacteriological or histological examination not done"
01342,"Tuberculoma of spinal cord, bacteriological or histological examination unknown(at present)"
01343,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
01344,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01345,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01346,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0135,*Tuberculous abscess of spinal cord
01350,"Tuberculous abscess of spinal cord, unspecified"
01351,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done"
01352,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)"
01353,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum)by microscopy"
01354,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01355,"Tuberculous asbcess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01356,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of"
0136,*Tuberculous encephalitis or myelitis
01360,"Tuberculous encephalitis or myelitis, unspecified"
01361,"Tuberculous encephalitis or myelitis, bacteriological or histological examination not done"
01362,"Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)"
01363,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy"
01364,"Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01365,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01366,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation o"
0138,*Other specified tuberculosis of central nervous system
01380,"Other specified tuberculosis of central nervous system, unspecified"
01381,"Other specified tuberculosis of central nervous system, bacteriological or histological examination not done"
01382,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
01383,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
01384,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01385,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01386,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other meth"
0139,*Unspecified tuberculosis of central nervous system
01390,"Unspecified tuberculosis of central nervous system , unspecified"
01391,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done"
01392,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
01393,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
01394,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01395,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01396,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods"
014,"*Tuberculosis of intestines, peritoneum, and mesenteric glands"
0140,*Tuberculous peritonitis
01400,"Tuberculous peritonitis, unspecified"
01401,"Tuberculous peritonitis, bacteriological or histological examination not done"
01402,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
01403,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy"
01404,"Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01405,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01406,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0148,"*Other tuberculosis of intestines, peritoneum, and mesenteric glands"
01480,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified"
01481,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
01482,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)"
01483,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy"
01484,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01485,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01486,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed"
015,*Tuberculosis of bones and joints
0150,*Vertebral column tuberculosis
01500,"Vertebral column tuberculosis, unspecified"
01501,"Vertebral column tuberculosis, bacteriological or histological examination done"
01502,"Vertebral column tuberculosis, bacteriological or histological examination known (at present)"
01503,"Vertebral column tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01504,"Vertebral column tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01505,"Vertebral column tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01506,"Vertebral column tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of anima"
0151,*Hip tuberculosis
01510,"Hip tuberculosis, unspecified"
01511,"Hip tuberculosis, bacteriological or histological examination not done"
01512,"Hip tuberculosis, bacteriological or histological examination unknown (at present)"
01513,"Hip tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01514,"Hip tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01515,"Hip tuberculosis, tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically"
01516,"Hip tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0152,*Knee tuberculosis
01520,"Knee tuberculosis, unspecified"
01521,"Knee tuberculosis, becteriological or histological examination not done"
01522,"Knee tuberculosis, bacteriological or histological examination unknown (at present)"
01523,"Knee tuberculosis, tubercle bacilli found (in sprtum) by microscopy"
01524,"Knee tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01525,"Knee tuberculosis, tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically"
01526,"Knee tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0155,*Limb bones tuberculosis
01550,"Limb bones tuberculosis, unspecified"
01551,"Limb bones tuberculosis, bacteriological or histological examination not done"
01552,"Limb bones tuberculosis, bacteriological or histological examination unknown (at present)"
01553,"Limb bones tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01554,"Limb bones tuberculosis, tubercle bacilli not found (in sputum) by microscopy but found by bacterial culture"
01555,"Limb bones tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosisconfirmed histologically"
01556,"Limb bones tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of animals]"
0156,*Mastoid tuberculosis
01560,"Mastoid tuberculosis, unspecified"
01561,"Mastoid tuberculosis, bacteriological or histological examination not done"
01562,"Mastoid tuberculosis, bacteriological or histological examination unknown (at present)"
01563,"Mastoid tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01564,"Mastoid tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01565,"Mastoid tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01566,"Mastoid tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation f animals]"
0157,*Other specified bone tuberculosis
01570,"Other specified bone tuberculosis, unspecified"
01571,"Other specified bone tuberculosis, bacteriological or histological examination not done"
01572,"Other specified bone tuberculosis, bacteriological or histological examination unknown (at present)"
01573,"Other specified bone tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01574,"Other specified bone tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01575,"Other specified bone tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01576,"Other specified bone tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of a"
0158,*Other specified joint tuberculosis
01580,"Other specified joint tuberculosis, unspecified"
01581,"Other specified joint tuberculosis, bacteriological or histological examination not done"
01582,"Other specified joint tuberculosis, bacteriological or histological examination unknown (at present)"
01583,"Other specified joint tuberculosis, tubercle bacilli found (in sputum) by microscopy"
01584,"Other specified joint tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
01585,"Other specified joint tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
01586,"Other specified joint tuberculosis, tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods [inoculation of"
0159,*Tuberculosis of unspecified bones and joints
01590,"Tuberculosis of unspecified bones and joints, unspecified"
01591,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done"
